Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Switzerland,CHE,7,7,7,6,6,7,6,6,6,6,6,6,6,5,5,5
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Syrian Arab Republic,SYR,73,70,67,64,61,58,55,53,51,49,49,52,56,60,64,68
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Tajikistan,TJK,68,69,58,48,46,46,39,38,37,37,35,35,34,34,33,32
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Tanzania,TZA,842,813,777,747,717,687,652,608,566,542,514,483,464,438,418,398
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Thailand,THA,25,26,27,28,28,26,24,24,24,23,23,22,22,21,21,20
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Timor-Leste,TLS,694,646,601,567,539,506,466,425,387,350,317,289,267,248,231,215
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Togo,TGO,491,474,459,446,434,427,427,416,402,395,393,396,391,386,378,368
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Tonga,TON,97,94,102,106,110,114,118,122,125,127,130,133,135,131,127,124
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Trinidad and Tobago,TTO,62,61,60,62,63,62,62,64,63,64,65,65,63,64,63,63
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Tunisia,TUN,84,83,81,78,76,74,72,71,69,68,67,66,64,64,63,62
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Turkey,TUR,79,77,74,70,65,57,48,39,32,27,23,21,19,18,17,16
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Turkmenistan,TKM,59,57,56,56,55,53,52,51,49,47,46,46,45,44,43,42
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Turks and Caicos Islands,TCA,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Tuvalu,TUV,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Uganda,UGA,620,601,576,558,536,504,481,469,451,432,420,408,395,372,356,343
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Ukraine,UKR,34,32,30,29,29,30,28,31,32,28,26,25,25,24,24,24
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,United Arab Emirates,ARE,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,United Kingdom,GBR,12,12,12,12,12,12,11,11,11,10,10,10,10,9,9,9
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,United States,USA,12,13,13,13,13,13,14,14,14,15,14,14,14,14,14,14
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Uruguay,URY,31,30,31,28,28,26,25,23,20,20,19,17,16,16,15,15
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Uzbekistan,UZB,34,39,42,42,40,42,41,41,40,40,39,38,38,37,37,36
