Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
CO2 emissions (kt),EN.ATM.CO2E.KT,Bulgaria,BGR,43530.957,46453.556,44634.724,47307.967,46801.921,47916.689,48991.12,52254.75,50740.279,42665.545,44117.677,49343.152,44873.079,39563.263,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Burkina Faso,BFA,1041.428,997.424,1004.758,1078.098,1103.767,1125.769,1360.457,1646.483,1917.841,1932.509,1961.845,2211.201,2629.239,3058.278,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Burundi,BDI,289.693,205.352,212.686,161.348,198.018,154.014,187.017,187.017,190.684,190.684,212.686,242.022,282.359,293.36,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Cabo Verde,CPV,187.017,209.019,242.022,308.028,330.03,344.698,374.034,396.036,308.028,330.03,480.377,531.715,495.045,443.707,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Cambodia,KHM,1976.513,2251.538,2207.534,2379.883,2445.889,2775.919,2999.606,3465.315,3898.021,4653.423,5012.789,5207.14,5456.496,5573.84,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Cameroon,CMR,3432.312,3421.311,3417.644,3795.345,3956.693,3696.336,3861.351,5834.197,5544.504,6725.278,6780.283,5768.191,6127.557,6813.286,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Canada,CAN,534483.585,527926.989,519335.208,553185.285,552349.209,551758.822,537780.218,540889.834,539085.67,498957.689,492588.11,497329.541,481601.778,475734.578,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Cayman Islands,CYM,469.376,473.043,491.378,498.712,462.042,480.377,484.044,583.053,594.054,561.051,564.718,594.054,542.716,539.049,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Central African Republic,CAF,267.691,245.689,245.689,234.688,234.688,234.688,249.356,253.023,253.023,253.023,264.024,278.692,293.36,297.027,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Chad,TCD,176.016,172.349,168.682,381.368,377.701,399.703,407.037,462.042,509.713,491.378,517.047,539.049,542.716,608.722,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Channel Islands,CHI,,,,,,,,,,,,,,,,
